year,AGDD,bloom_day
1960,11,105
1961,17,92
1962,0,97
1963,0,93
1964,0,102
1965,11,105
1966,6,95
1967,36,96
1968,0,90
1969,0,99
1970,0,106
1971,18,98
1972,16,102
1973,2,101
1974,14,93
1975,31,93
1976,78,83
1977,24,85
1978,0,102
1979,3,92
1980,0,97
1981,30,93
1982,6,97
1983,0,97
1984,26,94
1985,48,97
1986,10,92
1987,4,87
1988,14,91
1989,12,88
1990,37,74
1991,18,88
1992,1,98
1993,5,101
1994,0,95
1995,30,92
1996,20,95
1997,53,85
1998,39,86
1999,13,95
2000,36,77
2001,3,96
2002,33,92
2003,0,92
2005,20,99
2006,4,89
2007,43,91
2008,26,86
2009,13,91
2010,4,90
2011,29,88
2012,19,80
2013,7,99
2014,2,100
2015,1,100
2016,9,85
2017,76,84
2018,64,95
2019,6,91
2020,29,80